id,routing_id,pdv_id,position_order,objectifs,status,arrived_at,completed_at,geofence_validated,geolocation_lat,geolocation_lng,precision_gps,result_notes,visite_id,created_at,updated_at
"7e0954e5-3eab-47e7-b6a1-b9067c0e0591","61bd4ed9-a8c3-476a-acd1-db1184293986","RTG-TREICH-012","2","{""encaissement"":true,""merchandising"":true}","completed",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"4de81b41-0c3a-4060-abaf-9bc1f1609c95","61bd4ed9-a8c3-476a-acd1-db1184293986","RTG-TREICH-014","4","{""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"833ab3e5-982e-40bc-a260-8252444eee7f","61bd4ed9-a8c3-476a-acd1-db1184293986","RTG-TREICH-015","5","{""photos"":true,""prospection"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"32dbeaa6-8dcb-4c0a-9116-030208ad7769","7c41c0eb-19ed-44d7-8f7b-0cd8dbcae77a","RTG-TREICH-016","1","{""photos"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"0ddc0cfd-eaf1-4065-a1b3-e2be394d3528","7c41c0eb-19ed-44d7-8f7b-0cd8dbcae77a","RTG-TREICH-017","2","{""photos"":true,""encaissement"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"d1a8878d-d6e4-4936-b72d-5f54f5f8a813","7c41c0eb-19ed-44d7-8f7b-0cd8dbcae77a","RTG-TREICH-018","3","{""prospection"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"189ffbfc-b672-47db-a1cf-c9d5d9908bf4","7c41c0eb-19ed-44d7-8f7b-0cd8dbcae77a","RTG-TREICH-019","4","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"dc7f7dee-ffa7-4c53-af88-36b65ee9daaf","7c41c0eb-19ed-44d7-8f7b-0cd8dbcae77a","RTG-TREICH-020","5","{""photos"":true,""encaissement"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"e33d0243-8126-4e35-bf07-5a76ba49dd1c","8e5bfe5e-8f9d-4c49-99cf-4c5ffca4e565","RTG-TREICH-021","1","{""encaissement"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"555b5d58-b0a9-4763-b523-a3fdd29de108","8e5bfe5e-8f9d-4c49-99cf-4c5ffca4e565","RTG-TREICH-022","2","{""photos"":true,""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"6d5da78b-412e-4828-b968-0c1d2a2abf77","8e5bfe5e-8f9d-4c49-99cf-4c5ffca4e565","RTG-TREICH-023","3","{""prospection"":true,""encaissement"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"b5c38039-9842-4fd4-9c32-b19851049458","8e5bfe5e-8f9d-4c49-99cf-4c5ffca4e565","RTG-TREICH-024","4","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"9401d249-b622-4a14-a37e-447ff466e523","8e5bfe5e-8f9d-4c49-99cf-4c5ffca4e565","RTG-TREICH-025","5","{""encaissement"":true,""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"45a75cad-463a-4130-b344-69d4a56f1917","731d512e-e95e-410d-9030-94f1f8b5a654","RTG-TREICH-026","1","{""photos"":true,""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"4cac90b5-bace-4061-9708-d3451e2a2612","731d512e-e95e-410d-9030-94f1f8b5a654","RTG-TREICH-027","2","{""encaissement"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"061b151b-e5d3-4111-b2c3-bf14c3a8d759","731d512e-e95e-410d-9030-94f1f8b5a654","RTG-TREICH-028","3","{""photos"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"0d717e45-8cd8-4b6a-9750-3bafca63ee88","731d512e-e95e-410d-9030-94f1f8b5a654","RTG-TREICH-029","4","{""photos"":true,""prospection"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"7a764d8c-2c6e-4953-ab68-c96449a0cc0c","731d512e-e95e-410d-9030-94f1f8b5a654","RTG-TREICH-030","5","{""photos"":true,""encaissement"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-04-01T13:34:55.287969+00:00","2026-04-01T13:34:55.287969+00:00"
"9d910422-af0a-4816-8a40-a4e8e9a4c1a4","065e27ca-5af3-4d40-a630-856861b9c15e","97528ce3","1","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-05-05T10:33:42.749527+00:00","2026-05-05T10:33:42.749527+00:00"
"b8059859-4d63-4910-8a29-8352eb51ee5a","aa798761-4710-43d2-b8cb-2e269e177b5c","c8b172d3","1","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-06-23T17:57:31.516764+00:00","2026-06-23T17:57:31.516764+00:00"
"80b08a75-d824-46c5-876b-2827bcd00600","aa798761-4710-43d2-b8cb-2e269e177b5c","02b482c2","2","{""photos"":true,""prospection"":true,""encaissement"":true,""releve_stock"":true,""merchandising"":true}","pending",,,"false",,,,,,"2026-06-23T17:57:31.753375+00:00","2026-06-23T17:57:31.753375+00:00"
"80b67ce9-2a09-4fd6-8ebe-5ca7e717f6b6","f5dece5b-03d6-444e-877b-24d5838ff837","7deeaf43","1","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-06-23T17:58:11.234556+00:00","2026-06-23T17:58:11.234556+00:00"
"07f6477f-7e48-4d9a-8ce9-0fe6fc3fc381","f5dece5b-03d6-444e-877b-24d5838ff837","68a7144f","2","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-06-23T17:58:11.234556+00:00","2026-06-23T17:58:11.234556+00:00"
"7ec7ad23-9db4-4e3d-aa21-0678bbdf42c9","f5dece5b-03d6-444e-877b-24d5838ff837","5c1ad9ea","3","{""photos"":true,""releve_stock"":true}","pending",,,"false",,,,,,"2026-06-23T17:58:11.234556+00:00","2026-06-23T17:58:11.234556+00:00"
"955c9f9c-8e0e-4806-be34-aa5ced03d9b2","61bd4ed9-a8c3-476a-acd1-db1184293986","RTG-TREICH-013","3","{""photos"":true,""encaissement"":true,""releve_stock"":true}","completed",,"2026-04-01T15:52:06.864+00:00","false","5.29486372374271","-3.99666711480388","125",,,"2026-04-01T13:34:55.287969+00:00","2026-07-01T15:17:27.116089+00:00"
